rikisfang,ar,n
Ísland,1998,140503
Danmörk,1998,584
Finnland,1998,67
Noregur,1998,207
Svíþjóð,1998,196
Austurríki,1998,24
Belgía,1998,20
Búlgaría,1998,22
Kýpur,1998,0
Tékkland,1998,14
Þýskaland,1998,218
Eistland,1998,10
Spánn,1998,62
Frakkland,1998,89
Bretland,1998,259
Grikkland,1998,5
Ungverjaland,1998,24
Írland,1998,27
Ítalía,1998,25
Litháen (Lietuva),1998,16
Lúxemborg,1998,0
Lettland,1998,3
Malta,1998,1
Holland (Niðurland),1998,82
Pólland,1998,643
Portúgal,1998,57
Rúmenía,1998,9
Slóvenía,1998,7
Slóvakía,1998,8
Andorra,1998,0
Albanía,1998,3
Bosnia og Herzegovina,1998,14
Hvíta-Rússland,1998,2
Sviss,1998,24
Serbía og Svartfjallaland,1998,0
Króatía,1998,28
Liechtenstein,1998,0
Moldóva,1998,0
Montenegró (Svartfjallaland),1998,0
Norður Makedónía,1998,3
Serbía,1998,0
Rússland,1998,62
San Marínó,1998,0
Fyrrum Sovétríki,1998,9
Úkraína,1998,11
Kósovó,1998,0
Evrópa ótilgreint,1998,1
"Ríki í fyrrum Júgóslavíu, ótilgreint",1998,0
Júgóslavía (Serbía og Svartfjallaland),1998,94
Kanada,1998,49
Bandaríkin,1998,373
Antigua og Barbuda,1998,0
Argentína,1998,1
Barbados,1998,0
Bólivía,1998,5
Brasilía,1998,9
Bahamaeyjar,1998,0
Belize,1998,0
Chile,1998,11
Colombia,1998,12
Costa Rica,1998,4
Kúba,1998,2
Dóminíka,1998,0
Dóminíska lýðveldið,1998,2
Ekvador,1998,4
Grenada,1998,0
Guatemala,1998,3
Guyana,1998,2
Hondúras,1998,7
Haítí,1998,0
Jamaíka,1998,3
Sankti Kitts og Nevis,1998,0
Mexíkó,1998,15
Nicaragua,1998,0
Panama,1998,0
Perú,1998,12
Puerto Rico,1998,0
Paraguay,1998,0
Súrinam,1998,0
El Salvador,1998,0
Trínidad og Tóbagó,1998,2
Uruguay,1998,3
Sankti Vinsent og Grenadínur,1998,0
Venesúela,1998,2
Angóla,1998,2
Búrkína Fasó,1998,0
Benín,1998,0
Botswana,1998,0
"Kongó, Lýðstjórnarlýðveldið",1998,0
"Kongó, Lýðveldið",1998,0
Côte d'Ivoire (Fílabeinsströndin),1998,0
Kamerún,1998,0
Cabo Verde (Grænhöfðaeyjar),1998,9
Djibútí,1998,0
Alsír,1998,10
Egyptaland,1998,5
Vestur-Sahara,1998,0
Eritrea,1998,0
Eþíópía,1998,1
Gabon,1998,0
Ghana,1998,6
Gambía,1998,2
Gínea,1998,0
Miðbaugs-Gínea,1998,0
Gínea-Bissaú,1998,1
Kenya,1998,2
Sankti Lúsía,1998,0
Líbería,1998,0
Lesótó,1998,0
Líbía,1998,0
Marokkó,1998,28
Madagaskar,1998,1
Malí,1998,0
Máritanía,1998,0
Máritíus,1998,1
Malaví,1998,0
Mósambík,1998,0
Namibía,1998,2
Níger,1998,0
Nígería,1998,5
Rwanda,1998,0
Seychelles-eyjar,1998,0
Súdan,1998,0
Síerra Leóne,1998,3
Senegal,1998,0
Sómalía,1998,1
Suður-Súdan,1998,0
Chad,1998,0
Tógó,1998,0
Túnis,1998,3
Tansanía,1998,0
Úganda,1998,1
Suður-Afríka,1998,25
Zambia,1998,2
Saír,1998,1
Zimbabwe,1998,1
Afganistan,1998,0
Armenía,1998,0
Azerbaijan,1998,0
Bangladesh,1998,0
Kína,1998,57
Georgía,1998,2
Indónesía,1998,6
Ísrael,1998,5
Indland,1998,12
Írak,1998,4
Íran,1998,6
Jórdanía,1998,2
Japan,1998,17
Kyrgyzstan,1998,1
Kambódía,1998,0
"Kórea, Norður-",1998,0
"Kórea, Suður-",1998,2
Kasakstan,1998,1
Laos,1998,0
Líbanon,1998,2
Srí Lanka,1998,12
Myanmar,1998,0
Mongólía,1998,2
Maldívur,1998,0
Malasía,1998,4
Nepal,1998,2
Óman,1998,0
Filippseyjar,1998,187
Pakistan,1998,4
Palestína,1998,0
Sádi-Arabía,1998,0
Singapore,1998,4
Sýrland,1998,5
Thailand,1998,213
Tadsíkistan,1998,0
Tímor-Leste,1998,0
Túrkmenistan,1998,0
Tyrkland,1998,4
Taiwan,1998,2
Úsbekistan,1998,0
Víetnam,1998,31
Jemen,1998,0
Ástralía,1998,20
Fiji,1998,0
Naúrú,1998,0
Nýja-Sjáland,1998,24
Papúa Nýja-Gínea,1998,0
Salómonseyjar,1998,0
Tonga,1998,0
Vanúatú,1998,0
"Útlönd, ótilgreint land",1998,0
Ríkisfangslaus,1998,2
Ísland,1999,142317
Danmörk,1999,606
Finnland,1999,82
Noregur,1999,218
Svíþjóð,1999,226
Austurríki,1999,27
Belgía,1999,23
Búlgaría,1999,27
Kýpur,1999,0
Tékkland,1999,18
Þýskaland,1999,236
Eistland,1999,16
Spánn,1999,73
Frakkland,1999,97
Bretland,1999,280
Grikkland,1999,7
Ungverjaland,1999,28
Írland,1999,36
Ítalía,1999,35
Litháen (Lietuva),1999,32
Lúxemborg,1999,1
Lettland,1999,9
Malta,1999,1
Holland (Niðurland),1999,85
Pólland,1999,921
Portúgal,1999,64
Rúmenía,1999,13
Slóvenía,1999,6
Slóvakía,1999,9
Andorra,1999,0
Albanía,1999,5
Bosnia og Herzegovina,1999,22
Hvíta-Rússland,1999,2
Sviss,1999,24
Serbía og Svartfjallaland,1999,0
Króatía,1999,37
Liechtenstein,1999,0
Moldóva,1999,0
Montenegró (Svartfjallaland),1999,0
Norður Makedónía,1999,4
Serbía,1999,0
Rússland,1999,78
San Marínó,1999,0
Fyrrum Sovétríki,1999,3
Úkraína,1999,20
Kósovó,1999,0
Evrópa ótilgreint,1999,0
"Ríki í fyrrum Júgóslavíu, ótilgreint",1999,0
Júgóslavía (Serbía og Svartfjallaland),1999,162
Kanada,1999,58
Bandaríkin,1999,406
Antigua og Barbuda,1999,0
Argentína,1999,1
Barbados,1999,1
Bólivía,1999,4
Brasilía,1999,8
Bahamaeyjar,1999,0
Belize,1999,0
Chile,1999,11
Colombia,1999,13
Costa Rica,1999,3
Kúba,1999,6
Dóminíka,1999,0
Dóminíska lýðveldið,1999,3
Ekvador,1999,3
Grenada,1999,0
Guatemala,1999,3
Guyana,1999,7
Hondúras,1999,12
Haítí,1999,0
Jamaíka,1999,2
Sankti Kitts og Nevis,1999,0
Mexíkó,1999,17
Nicaragua,1999,0
Panama,1999,1
Perú,1999,17
Puerto Rico,1999,1
Paraguay,1999,1
Súrinam,1999,0
El Salvador,1999,0
Trínidad og Tóbagó,1999,1
Uruguay,1999,2
Sankti Vinsent og Grenadínur,1999,0
Venesúela,1999,5
Angóla,1999,3
Búrkína Fasó,1999,0
Benín,1999,0
Botswana,1999,0
"Kongó, Lýðstjórnarlýðveldið",1999,0
"Kongó, Lýðveldið",1999,0
Côte d'Ivoire (Fílabeinsströndin),1999,0
Kamerún,1999,0
Cabo Verde (Grænhöfðaeyjar),1999,11
Djibútí,1999,0
Alsír,1999,10
Egyptaland,1999,6
Vestur-Sahara,1999,0
Eritrea,1999,0
Eþíópía,1999,3
Gabon,1999,0
Ghana,1999,7
Gambía,1999,2
Gínea,1999,0
Miðbaugs-Gínea,1999,0
Gínea-Bissaú,1999,1
Kenya,1999,3
Sankti Lúsía,1999,0
Líbería,1999,0
Lesótó,1999,0
Líbía,1999,0
Marokkó,1999,31
Madagaskar,1999,1
Malí,1999,0
Máritanía,1999,0
Máritíus,1999,1
Malaví,1999,0
Mósambík,1999,0
Namibía,1999,3
Níger,1999,0
Nígería,1999,11
Rwanda,1999,1
Seychelles-eyjar,1999,0
Súdan,1999,0
Síerra Leóne,1999,3
Senegal,1999,2
Sómalía,1999,1
Suður-Súdan,1999,0
Chad,1999,0
Tógó,1999,0
Túnis,1999,4
Tansanía,1999,0
Úganda,1999,1
Suður-Afríka,1999,23
Zambia,1999,2
Saír,1999,1
Zimbabwe,1999,1
Afganistan,1999,0
Armenía,1999,2
Azerbaijan,1999,0
Bangladesh,1999,0
Kína,1999,74
Georgía,1999,3
Indónesía,1999,4
Ísrael,1999,5
Indland,1999,13
Írak,1999,5
Íran,1999,6
Jórdanía,1999,3
Japan,1999,19
Kyrgyzstan,1999,1
Kambódía,1999,0
"Kórea, Norður-",1999,0
"Kórea, Suður-",1999,4
Kasakstan,1999,2
Laos,1999,0
Líbanon,1999,4
Srí Lanka,1999,17
Myanmar,1999,0
Mongólía,1999,15
Maldívur,1999,0
Malasía,1999,5
Nepal,1999,3
Óman,1999,0
Filippseyjar,1999,219
Pakistan,1999,7
Palestína,1999,0
Sádi-Arabía,1999,0
Singapore,1999,5
Sýrland,1999,5
Thailand,1999,257
Tadsíkistan,1999,0
Tímor-Leste,1999,0
Túrkmenistan,1999,0
Tyrkland,1999,4
Taiwan,1999,1
Úsbekistan,1999,0
Víetnam,1999,44
Jemen,1999,0
Ástralía,1999,23
Fiji,1999,0
Naúrú,1999,0
Nýja-Sjáland,1999,23
Papúa Nýja-Gínea,1999,0
Salómonseyjar,1999,0
Tonga,1999,0
Vanúatú,1999,0
"Útlönd, ótilgreint land",1999,0
Ríkisfangslaus,1999,2
Ísland,2000,144634
Danmörk,2000,609
Finnland,2000,75
Noregur,2000,217
Svíþjóð,2000,237
Austurríki,2000,28
Belgía,2000,24
Búlgaría,2000,32
Kýpur,2000,0
Tékkland,2000,37
Þýskaland,2000,263
Eistland,2000,18
Spánn,2000,78
Frakkland,2000,110
Bretland,2000,283
Grikkland,2000,4
Ungverjaland,2000,32
Írland,2000,35
Ítalía,2000,42
Litháen (Lietuva),2000,58
Lúxemborg,2000,1
Lettland,2000,12
Malta,2000,1
Holland (Niðurland),2000,87
Pólland,2000,1027
Portúgal,2000,67
Rúmenía,2000,21
Slóvenía,2000,11
Slóvakía,2000,15
Andorra,2000,0
Albanía,2000,7
Bosnia og Herzegovina,2000,27
Hvíta-Rússland,2000,9
Sviss,2000,21
